Text	Author	Source
Death may be the greatest of all human blessings	Socrates	
In the country of the blind the one eyed man is king	Desiderius Erasmus	
The best time to plant a tree was 20 years ago. The second best time is now.	Chinese proverb	
An investment in knowledge pays the best interest	Benjamin Franklin	
The superior man acts before he speaks, and afterwards speaks according to his action.	Confucius	
You are guaranteed zero failures if you never try, but you're also guaranteed zero successes	Sean McCabe	
No man is free who is not master of himself.	Epictetus	
The summit of happiness is reached when a person is ready to be what he is.	Desiderius Erasmus	
Those that know, do. Those that understand, teach.	Aristotle	
Fine words and an insinuating appearance are seldom associated with true virtue.	Confucius	
All models are wrong, some are useful.	George Box	
Much learning does not teach understanding.	Heraclitus	
Without music, life would be a mistake	Friedrich Nietzsche	
He who has a why to live for can bear almost any how.	Friedrich Nietzsche	
First, solve the problem. Then, write the code.	John Johnson	
The best solution to a problem is not to have it	Michal Migurski	
What people think of you is none of your business.	Amy Hatvany	
Beauty awakens the soul to act	Dante	
Few people can be happy unless they hate some other person, nation or creed	Bertrand Russell	
I would not give a fig for the simplicity this side of complexity, but I would give my life for the simplicity on the other side of complexity	Oliver Wendell Holmes	
All happy families are alike; each unhappy family is unhappy in its own way.	Leo Tolstoy	Ana Karenina
Programs must be written for people to read, and only incidentally for machines to execute.	Abelson, Sussman, et. al.	
If we offend, it is with our good will that you should think, we come not to offend, but with good will. To show our simple skill, that is the true beginning of our end.	William Shakespeare	A Midsummer Night’s Dream
It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.	Muhammad Ali	
Virtue is more to be feared than vice, because its excesses are not subject to the regulation of conscience	Adam Smith	
On the road from the city of skepticism I had to pass through the valley of ambiguity.	Adam Smith	
When it becomes serious, you have to lie	Jean-Claude Juncker	
Before the Roman came to Rye or out to Severn strode, the rolling English drunkard made the rolling English road.	GK Chesterton	
It is fitting that a liar should be a man of good memory	Maurcus Fabius Quintilian	
Do. Or do not. There is no try.	Master Yoda	Star Wars
Never attribute to malice that which is adequately explained by stupidity,	Hanlon's razor	
This is a good death. There’s no shame in this. In a man’s death, a man who has done fine works.	The Operative	Serenity
So convenient a thing is it to be a reasonable creature, since it enables one to find or make a reason for everything one had in mind to do.	Benjamin Franklin	
Unfortunately, in human relations, people seek to assign blame and avoid responsibility. But in reality, there is no blame, only responsibility.	Master Bho Li	The Tale of Zen
Software is eating the world	Marc Andreesen	
We know what we are, but know not what we may be	William Shakespeare	
You are terminated	The Terminator
You're fired!	The Apprentice
Resistance is futile	The Borg	Star Trek
Qapla'	Klingon phrase
Live long and prosper	Vulcan phrase
Go forth and multiply	Genesis 1:21,28; 9:1 (paraphrased)	The Bible
Rosebud	Citizen Kane
Today is a good day to die	Klingon phrase
Logic will get you from A to B. Imagination will take you everywhere	Albert Einstein	
Everybody's got a plan. Then they get hit.	Mike Tyson	
Though this be madness, yet there is method in't.	William Shakespeare	The tragedy of Hamlet, Prince of Denmark
That will prove awful both in deed and word.	William Shakespeare	Pericles, Prince of Tyre
And, I pray thee now, tell me for which of my bad parts didst thou first fall in love with me?	William Shakespeare	Much ado about nothing
The good or ill of man lies within his own will	Epictetus
I do not enlighten those who are not eager to learn, nor arouse those who are not anxious to give an explanation themselves. If I have presented one corner of the square and they cannot come back to me with the other three, I should not go over the points again	Confucius
There is no such uncertainty as a sure thing.	Robert Burns	Collected Poems of Robert Burns
But to see her was to love her, love but her, and love forever.	Robert Burns
I am little acquainted with politeness, but I know a good deal of benevolence of temper and goodness of heart.	Robert Burns	The Letters Of Robert Burns
Do not go gentle into that good night	Dylan Thomas
Do all the good you can, by all the means you can, in all the ways you can, in all the places you can, at all the times you can, to all the people you can, as long as ever you can.	John Wesley
The more they overthink the plumbing, the easier it is to stop up the drain.	Scotty	Star Trek
Your representative owes you, not his industry only, but his judgment; and he betrays, instead of serving you, if he sacrifices it to your opinion.	Edmund Burke
Any man can make mistakes, but only an idiot persists in his error.	Cicero
He who does not understand your silence will probably not understand your workds	Elbert Hubbard
The fault, dear Brutus, is not in our stars, But in ourselves, that we are underlings.	Cassius	Julius Caesar (William Shakespeare)